id,ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl_usd,pnl_pct,exit_reason,tier
67,ACHC,2026-05-22,2026-05-28,23.07,24.09000015258789,205.0,209.10003128051753,4.4213270593319915,profit_target,1
66,CTVA,2026-05-21,2026-05-28,78.3,79.88999938964844,119.0,189.20992736816441,2.030650561492261,profit_target,2
65,AGX,2026-05-21,2026-05-28,660.12,673.510009765625,17.0,227.63016601562492,2.028420554690813,profit_target,3
64,CC,2026-05-20,2026-05-28,22.2,22.5,490.0,147.00000000000034,1.3513513513513546,time_stop,3
63,ALKS,2026-05-20,2026-05-28,37.53,38.09000015258789,288.0,161.28004394531217,1.4921400282118025,time_stop,3
62,GVA,2026-05-21,2026-05-27,129.39,133.52000427246094,72.0,297.3603076171885,3.1919037579882152,profit_target,2
61,CW,2026-05-20,2026-05-27,722.04,750.6599731445312,14.0,400.679624023438,3.963765600871321,profit_target,3
60,CBT,2026-05-25,2026-05-26,81.2976954,83.41000366210938,130.0,274.6000740742194,2.598238795966386,profit_target,3
59,NXT,2026-05-25,2026-05-26,119.0128231,130.5,78.0,895.9997981999995,9.652049754628495,profit_target,3
58,COHU,2026-05-25,2026-05-26,43.8050034,46.529998779296875,118.0,321.54945475703164,6.220740024635813,profit_target,3
57,GATX,2026-05-18,2026-05-26,175.87,169.6699981689453,61.0,-378.2001116943362,-3.5253322516942585,time_stop,3
53,NLY,2026-05-19,2026-05-22,21.261,21.65,215.0,81.63,1.83,profit_target,3
52,LUV,2026-05-19,2026-05-22,37.575,40.61,121.0,365.23,8.08,profit_target,2
51,AKAM,2026-05-20,2026-05-22,141.4,146.24000549316406,75.0,363.00041198730423,3.4229176047836325,profit_target,3
50,ARR,2026-05-19,2026-05-22,16.272343,16.719999313354492,653.0,292.3195726204838,2.7510255490219993,profit_target,2
49,AMRX,2026-05-15,2026-05-22,12.16,12.420000076293945,891.0,231.66006797790516,2.1381585221541544,profit_target,2
48,HST,2026-05-18,2026-05-21,21.49,22.299999237060547,378.0,306.1797116088873,3.769191424199853,profit_target,2
47,FORM,2026-05-18,2026-05-21,121.96,125.30999755859375,83.0,278.04979736328175,2.746800228430433,profit_target,3
46,MCHP,2026-05-13,2026-05-21,98.6,94.0199966430664,109.0,-499.2203659057611,-4.645033830561449,time_stop,3
45,LQDT,2026-05-13,2026-05-21,34.21,34.45000076293945,318.0,76.32024261474582,0.7015514847689338,time_stop,3
44,STBA,2026-05-12,2026-05-20,44.16,44.150001525878906,222.0,-2.2196612548820553,-0.022641472194498052,time_stop,3
43,COKE,2026-05-12,2026-05-20,171.99,173.36000061035156,57.0,78.09003479003854,0.7965582942912689,time_stop,3
42,ALL,2026-05-11,2026-05-19,215.07,221.2100067138672,40.0,245.60026855468777,2.854887577936111,time_stop,3
41,VIX_CALL_SPREAD,2026-05-18,2026-06-16,17.82,0.0,1.0,-105.0,0.0,vix_call_premium,0
40,AROC,2026-05-12,2026-05-18,36.54,37.43000030517578,267.0,237.63008148193381,2.4356877536283035,profit_target,3
39,PRAA,2026-05-08,2026-05-18,19.91,15.15999984741211,479.0,-2275.2500730895995,-23.857358877889958,time_stop,3
38,MSGS,2026-05-14,2026-05-15,337.4222613,349.29998779296875,31.0,368.2095212820312,3.5201371857348605,time_stop,3
37,REZI,2026-05-14,2026-05-15,32.4450031,30.079999923706055,292.0,-690.5809274778323,-7.289267838886248,time_stop,3
36,GFF,2026-05-13,2026-05-15,83.49,85.91000366210938,135.0,326.70049438476633,2.8985551109227217,profit_target,3
35,MGY,2026-05-11,2026-05-15,28.19,28.809999465942383,307.0,190.33983604431114,2.199359581207455,profit_target,3
34,WLK,2026-05-07,2026-05-15,99.7,91.52999877929688,103.0,-841.5101257324221,-8.194584975630018,time_stop,3
33,TPL,2026-05-07,2026-05-15,447.57,388.5,25.0,-1476.7499999999998,-13.197935518466384,time_stop,3
32,TDW,2026-05-07,2026-05-15,79.99,81.75,126.0,221.76000000000064,2.2002750343793043,time_stop,3
31,SR,2026-05-07,2026-05-15,87.33,86.12000274658203,119.0,-143.9896731567381,-1.3855459216969737,time_stop,3
30,OGS,2026-05-07,2026-05-15,86.71,84.29000091552734,120.0,-290.399890136718,-2.790911180339811,time_stop,3
29,GNL,2026-05-07,2026-05-15,9.07,9.199999809265137,1139.0,148.0697827529904,1.4332944792187037,time_stop,3
28,FDP,2026-05-07,2026-05-15,37.87,35.220001220703125,274.0,-726.0996655273431,-6.997620225235998,time_stop,3
27,DTE,2026-05-07,2026-05-15,142.04,143.8000030517578,72.0,126.72021972656307,1.2390897294831178,time_stop,3
26,REZI,2026-05-13,2026-05-14,32.445003,30.110000610351562,292.0,-681.8206977773436,-7.19680127521775,time_stop,3
25,MSGS,2026-05-07,2026-05-14,337.39,348.20001220703125,31.0,335.1103784179692,3.2040108500640994,profit_target,3
24,MSCI,2026-05-06,2026-05-14,580.35,570.9099731445312,19.0,-179.36051025390668,-1.6266092625947741,time_stop,3
