date,equity,peak,drawdown_pct
2004-01-02,99250.0,99250.0,0.0
2004-04-05,98505.625,99250.0,-0.75
2004-07-06,101053.845,101053.845,0.0
2004-07-08,100295.94119030522,101053.845,-0.7499999724847451
2004-10-07,99543.72165918317,101053.845,-1.4943749451758452
2004-10-25,99628.40095109309,101053.845,-1.4105787354324908
2004-10-27,99673.63694058664,101053.845,-1.365814491683477
2004-10-27,99599.83002808815,101053.845,-1.4388517051596097
2004-10-27,99727.00004581374,101053.845,-1.3130078862276489
2004-11-01,99836.09632854971,101053.845,-1.2050493194497334
2004-11-03,99983.43953094445,101053.845,-1.0592426928985725
2004-11-04,101174.81225960884,101174.81225960884,0.0
2004-11-04,101754.3925395741,101754.3925395741,0.0
2004-11-05,101771.99801911289,101771.99801911289,0.0
2004-11-05,101977.30956062989,101977.30956062989,0.0
2004-11-05,102284.17829955764,102284.17829955764,0.0
2004-11-08,102523.61407279837,102523.61407279837,0.0
2004-11-09,102947.05348778404,102947.05348778404,0.0
2004-11-11,103155.52424897578,103155.52424897578,0.0
2004-11-15,103435.32000477241,103435.32000477241,0.0
2004-11-17,105058.62431690091,105058.62431690091,0.0
2004-11-19,104941.73876051672,105058.62431690091,-0.11125745948435187
2004-11-22,105192.20961719674,105192.20961719674,0.0
2004-11-24,105394.31324434924,105394.31324434924,0.0
2004-11-24,105615.47090695427,105615.47090695427,0.0
2004-11-24,105775.6250706351,105775.6250706351,0.0
2004-11-24,106132.71365884849,106132.71365884849,0.0
2004-11-24,106502.6103371474,106502.6103371474,0.0
2004-11-24,108271.95340896149,108271.95340896149,0.0
2004-11-24,108553.57539692603,108553.57539692603,0.0
2004-11-24,108908.40345583535,108908.40345583535,0.0
2004-11-24,108872.72276372445,108908.40345583535,-0.03276211107562868
2004-11-24,108681.39208930102,108908.40345583535,-0.20844247030614238
2004-11-24,109244.59967420851,109244.59967420851,0.0
2004-11-26,109500.96640357634,109500.96640357634,0.0
2004-11-26,109370.35814981963,109500.96640357634,-0.11927589138834024
2004-11-26,109376.38253046268,109500.96640357634,-0.11377422246164945
2004-11-26,109333.99263492838,109500.96640357634,-0.15248611417050514
2004-11-26,109510.13220761098,109510.13220761098,0.0
2004-11-26,109835.41952761817,109835.41952761817,0.0
2004-11-26,110087.20287063008,110087.20287063008,0.0
2004-11-29,110046.05183623896,110087.20287063008,-0.03738039782832919
2004-11-29,110308.9563124324,110308.9563124324,0.0
2004-11-29,110108.9980971795,110308.9563124324,-0.1812710607890752
2004-11-29,110110.47835673144,110308.9563124324,-0.17992913933371255
2004-11-29,110144.01960521095,110308.9563124324,-0.14952249820431177
2004-11-29,109855.69950501036,110308.9563124324,-0.410897557708977
2004-11-30,109602.26057889928,110308.9563124324,-0.6406512736205411
2004-11-30,108930.26912014245,110308.9563124324,-1.2498415707832908
2004-11-30,109005.7164610285,110308.9563124324,-1.181445183573935
2004-11-30,109684.20601837644,110308.9563124324,-0.5663640695561106
2004-12-01,109968.90014688541,110308.9563124324,-0.3082761154804504
2004-12-02,110446.83167543153,110446.83167543153,0.0
2004-12-02,110724.71223290445,110724.71223290445,0.0
2004-12-02,111037.97973048591,111037.97973048591,0.0
2004-12-02,111127.2583819398,111127.2583819398,0.0
2004-12-06,111409.77538372231,111409.77538372231,0.0
2004-12-08,111466.35158249906,111466.35158249906,0.0
2004-12-09,111706.59740000173,111706.59740000173,0.0
2004-12-09,111772.13760830689,111772.13760830689,0.0
2004-12-10,112159.20375945762,112159.20375945762,0.0
2004-12-10,112424.35158782333,112424.35158782333,0.0
2004-12-10,112876.19342527886,112876.19342527886,0.0
2004-12-10,113146.53455522735,113146.53455522735,0.0
2004-12-10,113570.17136345817,113570.17136345817,0.0
2004-12-10,113162.06497854623,113570.17136345817,-0.3593429331068604
2004-12-10,113102.20239316228,113570.17136345817,-0.4120527112689181
2004-12-10,113383.45763161244,113570.17136345817,-0.1644038479506958
2004-12-13,113645.57724805134,113645.57724805134,0.0
2004-12-13,113623.0466976368,113645.57724805134,-0.019825276935642993
2004-12-13,113972.82377319512,113972.82377319512,0.0
2004-12-13,114397.56636403746,114397.56636403746,0.0
2004-12-13,114699.63122501383,114699.63122501383,0.0
2004-12-13,114938.14464551542,114938.14464551542,0.0
2004-12-13,115557.14878732021,115557.14878732021,0.0
2004-12-13,115826.19573584251,115826.19573584251,0.0
2004-12-13,116102.07742411917,116102.07742411917,0.0
2004-12-13,116385.58757284447,116385.58757284447,0.0
2004-12-14,116716.00183303375,116716.00183303375,0.0
2004-12-14,117023.76743268107,117023.76743268107,0.0
2004-12-14,117334.15984644894,117334.15984644894,0.0
2004-12-14,117568.92915352197,117568.92915352197,0.0
2004-12-14,118242.84290800722,118242.84290800722,0.0
2004-12-14,118639.28990772324,118639.28990772324,0.0
2004-12-14,119047.93940941748,119047.93940941748,0.0
2004-12-15,119375.76132436687,119375.76132436687,0.0
2004-12-15,119938.7742219914,119938.7742219914,0.0
2004-12-15,120414.79819658228,120414.79819658228,0.0
2004-12-16,120436.35936607042,120436.35936607042,0.0
2004-12-16,120422.91122435268,120436.35936607042,-0.011166180868078874
2004-12-16,120409.31518772623,120436.35936607042,-0.022455160955165716
2004-12-16,120054.90310739553,120436.35936607042,-0.3167284868811461
2004-12-16,120053.68685744764,120436.35936607042,-0.3177383562879342
2004-12-16,119325.21413062423,120436.35936607042,-0.9225994884724392
2004-12-16,119314.0823060603,120436.35936607042,-0.9318423986886898
2004-12-16,119605.83099022799,120436.35936607042,-0.6895993703346799
2004-12-16,119733.50236382632,120436.35936607042,-0.5835920364445261
2004-12-16,120156.7714802903,120436.35936607042,-0.23214574672611746
2004-12-17,120168.48796687246,120436.35936607042,-0.22241738342800285
2004-12-17,120168.83827329658,120436.35936607042,-0.22212651908606576
2004-12-17,120306.66343228964,120436.35936607042,-0.10768835463264315
2004-12-20,120416.70474675213,120436.35936607042,-0.016319506353182515
2004-12-20,120409.00933759497,120436.35936607042,-0.022709112613014254
2004-12-20,120446.76095745237,120446.76095745237,0.0
2004-12-20,120058.23064390836,120446.76095745237,-0.32257431453989216
2004-12-21,120026.66642819352,120446.76095745237,-0.3487802626815691
2004-12-21,120017.01284798374,120446.76095745237,-0.35679507365119645
2004-12-22,120141.6726073159,120446.76095745237,-0.253297264045353
2004-12-22,120905.56427722308,120905.56427722308,0.0
2004-12-23,121318.0802237768,121318.0802237768,0.0
2004-12-23,121533.48931195903,121533.48931195903,0.0
2004-12-23,121618.01678139973,121618.01678139973,0.0
2004-12-23,121890.109542133,121890.109542133,0.0
2004-12-27,121951.83307420264,121951.83307420264,0.0
2004-12-28,122284.88872657815,122284.88872657815,0.0
2004-12-28,122587.38950826059,122587.38950826059,0.0
2004-12-28,122223.95097138704,122587.38950826059,-0.2964730208640771
2004-12-28,122478.62599880503,122587.38950826059,-0.08872324461092297
2004-12-28,122607.86852361822,122607.86852361822,0.0
2004-12-28,122767.85812299598,122767.85812299598,0.0
2004-12-28,122962.32637065854,122962.32637065854,0.0
2004-12-28,123099.94727690656,123099.94727690656,0.0
2004-12-29,123360.5706937539,123360.5706937539,0.0
2004-12-29,123495.52788698238,123495.52788698238,0.0
2004-12-29,123631.52059957488,123631.52059957488,0.0
2004-12-29,123381.6360336129,123631.52059957488,-0.2021204339719518
2004-12-29,123351.81525553492,123631.52059957488,-0.22624112579338698
2004-12-29,123517.27374875333,123631.52059957488,-0.09240916092230465
2004-12-30,123538.62480896339,123631.52059957488,-0.07513924455590254
2004-12-30,123718.99552560429,123718.99552560429,0.0
2004-12-30,123824.7956909689,123824.7956909689,0.0
2005-01-05,123178.42889982866,123824.7956909689,-0.5220010964147889
2005-01-05,123342.04889982866,123824.7956909689,-0.38986278026658877
2005-01-06,122410.08586053783,123824.7956909689,-1.1425093193464846
2005-01-06,122557.24993465713,123824.7956909689,-1.0236606886678796
2005-01-07,121638.07061347438,123824.7956909689,-1.7659831904362278
2005-01-07,121738.715021669,123824.7956909689,-1.684703501959451
2005-01-07,121865.02861592505,123824.7956909689,-1.582693566428211
2005-01-07,121981.59389220708,123824.7956909689,-1.4885563012451226
2005-01-10,122106.31966929023,123824.7956909689,-1.387828675257813
2005-01-10,122272.91691326837,123824.7956909689,-1.2532859586326823
2005-01-10,122524.15638138566,123824.7956909689,-1.0503868004185961
2005-01-10,122702.97132088957,123824.7956909689,-0.9059771621825049
2005-01-10,122878.15496679598,123824.7956909689,-0.7645001301156682
2005-01-12,122902.21223725578,123824.7956909689,-0.7450716543200435
2005-01-12,122921.74618948184,123824.7956909689,-0.7292961772703473
2005-01-12,123047.43832562046,123824.7956909689,-0.6277881267726823
2005-01-12,123248.76668381973,123824.7956909689,-0.4651968161423538
2005-01-12,123026.9863299328,123824.7956909689,-0.6443050090122486
2005-01-12,122680.3591616129,123824.7956909689,-0.9242385767485386
2005-01-12,122449.52709679138,123824.7956909689,-1.1106568652128348
2005-01-12,122185.98158309732,123824.7956909689,-1.3234942958933522
2005-01-12,121821.3590556511,123824.7956909689,-1.6179607841371224
2005-01-12,121697.78657208625,123824.7956909689,-1.7177570187081523
2005-01-12,121423.68857901017,123824.7956909689,-1.9391165546125366
2005-01-12,121373.13666137388,123824.7956909689,-1.97994191382609
2005-01-12,121326.9286268965,123824.7956909689,-2.017259184748715
2005-01-12,121272.9870110946,123824.7956909689,-2.0608220394264727
2005-01-12,121058.98107841042,123824.7956909689,-2.2336516665540507
2005-01-12,120940.65464977195,123824.7956909689,-2.329211225508442
2005-01-12,120678.36831897394,123824.7956909689,-2.5410317492851227
2005-01-12,120554.26830692006,123824.7956909689,-2.6412540120083325
2005-01-12,120441.41148935628,123824.7956909689,-2.732396353034629
2005-01-12,120210.01459806591,123824.7956909689,-2.9192707912270133
2005-01-12,120136.12691205821,123824.7956909689,-2.9789419464228613
2005-01-12,119845.99603352103,123824.7956909689,-3.213249523445854
2005-01-12,119448.38427837398,123824.7956909689,-3.534357870871984
2005-01-13,119306.66942114533,123824.7956909689,-3.648805753816474
2005-01-13,119305.6051092223,123824.7956909689,-3.649665284346755
2005-01-13,118972.2577973385,123824.7956909689,-3.918874137083924
2005-01-13,118955.8730589758,123824.7956909689,-3.9321063320342726
2005-01-13,118885.50461011396,123824.7956909689,-3.9889353770322273
2005-01-13,118827.46428443475,123824.7956909689,-4.0358083198506085
2005-01-13,118899.03014223129,123824.7956909689,-3.978012256148517
2005-01-13,118879.90225862226,123824.7956909689,-3.9934597951509416
2005-01-13,118886.52446210555,123824.7956909689,-3.9881117520176286
2005-01-13,118859.69147920201,123824.7956909689,-4.009781872895924
2005-01-13,118933.18165232257,123824.7956909689,-3.9504317462024217
2005-01-13,118369.41696401118,123824.7956909689,-4.405723988087792
2005-01-13,118382.93005802085,123824.7956909689,-4.394810912128921
2005-01-13,118121.7517566507,123824.7956909689,-4.605736599437928
2005-01-13,118063.16558179916,123824.7956909689,-4.6530503660584355
2005-01-13,117449.08379741234,123824.7956909689,-5.148978326981049
