date,equity,peak,drawdown_pct
2004-01-02,99250.0,99250.0,0.0
2004-04-05,98505.625,99250.0,-0.75
2004-07-06,99083.725,99250.0,-0.16753148614608984
2004-07-08,98340.59703405523,99250.0,-0.9162750286597175
2004-10-07,97603.04252785504,99250.0,-1.6594029946044944
2004-10-25,97686.07094010171,99250.0,-1.575747163625483
2004-10-27,97730.42502360127,99250.0,-1.5310579107291948
2004-10-27,97658.05702642792,99250.0,-1.6039727693421428
2004-10-27,97782.7477792553,99250.0,-1.478339769012296
2004-11-01,97889.71715669433,99250.0,-1.3705620587462681
2004-11-03,98034.17415743807,99250.0,-1.225013443387333
2004-11-04,99202.32027467554,99250.0,-0.04804002551582726
2004-11-04,99770.60124785831,99770.60124785831,0.0
2004-11-05,99787.86349675032,99787.86349675032,0.0
2004-11-05,99989.17235188585,99989.17235188585,0.0
2004-11-05,100290.05847866657,100290.05847866657,0.0
2004-11-08,100524.82629071182,100524.82629071182,0.0
2004-11-09,100940.01046993618,100940.01046993618,0.0
2004-11-11,101144.41692518262,101144.41692518262,0.0
2004-11-15,101418.7578377268,101418.7578377268,0.0
2004-11-17,103010.41452694948,103010.41452694948,0.0
2004-11-19,102895.80774847769,103010.41452694948,-0.11125746750762326
2004-11-22,103141.3954743947,103141.3954743947,0.0
2004-11-24,103339.55892881753,103339.55892881753,0.0
2004-11-24,103556.40494494977,103556.40494494977,0.0
2004-11-24,103713.43677442429,103713.43677442429,0.0
2004-11-24,104063.56363346352,104063.56363346352,0.0
2004-11-24,104426.24887857265,104426.24887857265,0.0
2004-11-24,106161.09718441346,106161.09718441346,0.0
2004-11-24,106437.22872526092,106437.22872526092,0.0
2004-11-24,106785.13912583263,106785.13912583263,0.0
2004-11-24,106750.15405750649,106785.13912583263,-0.03276211335448198
2004-11-24,106562.55352843639,106785.13912583263,-0.20844248480489172
2004-11-24,107114.78092858195,107114.78092858195,0.0
2004-11-26,107366.14958240763,107366.14958240763,0.0
2004-11-26,107238.08764158438,107366.14958240763,-0.11927589964000028
2004-11-26,107243.99457208239,107366.14958240763,-0.113774230332698
2004-11-26,107202.43110164868,107366.14958240763,-0.15248612471968256
2004-11-26,107375.13669172207,107375.13669172207,0.0
2004-11-26,107694.08227385125,107694.08227385125,0.0
2004-11-26,107940.9568981237,107940.9568981237,0.0
2004-11-29,107900.60813623895,107940.9568981237,-0.03738040040058638
2004-11-29,108158.38707825867,108158.38707825867,0.0
2004-11-29,107962.32720920525,108158.38707825867,-0.18127107323777306
2004-11-29,107963.7786099069,108158.38707825867,-0.17992915169025134
2004-11-29,107996.66594477567,108158.38707825867,-0.1495225084726827
2004-11-29,107713.96687677637,108158.38707825867,-0.4108975859271519
2004-11-30,107465.46894632859,108158.38707825867,-0.6406513176169306
2004-11-30,106806.57850143116,108158.38707825867,-1.249841656615506
2004-11-30,106880.55493573689,108158.38707825867,-1.181445264709064
2004-11-30,107545.81679356807,108158.38707825867,-0.5663641084508565
2004-12-01,107824.96058110963,108158.38707825867,-0.3082761366511462
2004-12-02,108293.57445018593,108293.57445018593,0.0
2004-12-02,108566.0375027378,108566.0375027378,0.0
2004-12-02,108873.19759854498,108873.19759854498,0.0
2004-12-02,108960.72886736537,108960.72886736537,0.0
2004-12-06,109237.73797301672,109237.73797301672,0.0
2004-12-08,109293.20434977204,109293.20434977204,0.0
2004-12-09,109528.76638187276,109528.76638187276,0.0
2004-12-09,109593.01518405104,109593.01518405104,0.0
2004-12-10,109972.53514562547,109972.53514562547,0.0
2004-12-10,110232.51368762336,110232.51368762336,0.0
2004-12-10,110675.54647744245,110675.54647744245,0.0
2004-12-10,110940.61707311457,110940.61707311457,0.0
2004-12-10,111355.99471516178,111355.99471516178,0.0
2004-12-10,110955.84469239577,111355.99471516178,-0.35934304550874047
2004-12-10,110897.1491762514,111355.99471516178,-0.4120528401583233
2004-12-10,111172.9211004351,111355.99471516178,-0.1644039148453321
2004-12-13,111429.93046807742,111429.93046807742,0.0
2004-12-13,111407.83917024423,111429.93046807742,-0.019825281897236317
2004-12-13,111750.79703896971,111750.79703896971,0.0
2004-12-13,112167.2589054395,112167.2589054395,0.0
2004-12-13,112463.43475055002,112463.43475055002,0.0
2004-12-13,112697.298145514,112697.298145514,0.0
2004-12-13,113304.23422802627,113304.23422802627,0.0
2004-12-13,113568.03582423768,113568.03582423768,0.0
2004-12-13,113838.53890978688,113838.53890978688,0.0
2004-12-13,114116.52173095114,114116.52173095114,0.0
2004-12-14,114440.49425898748,114440.49425898748,0.0
2004-12-14,114742.25964563037,114742.25964563037,0.0
2004-12-14,115046.60069068421,115046.60069068421,0.0
2004-12-14,115276.79292400062,115276.79292400062,0.0
2004-12-14,115937.5544995444,115937.5544995444,0.0
2004-12-14,116326.27242192335,116326.27242192335,0.0
2004-12-14,116726.95494794463,116726.95494794463,0.0
2004-12-15,117048.38563099719,117048.38563099719,0.0
2004-12-15,117600.42200328181,117600.42200328181,0.0
2004-12-15,118067.16547854604,118067.16547854604,0.0
2004-12-16,118192.34778823172,118192.34778823172,0.0
2004-12-16,118478.40857932785,118478.40857932785,0.0
2004-12-16,118467.49377931707,118478.40857932785,-0.009212480266793553
2004-12-16,117753.22325870937,118478.40857932785,-0.612082259809325
2004-12-16,118168.2403010165,118478.40857932785,-0.26179308283304237
2004-12-16,117820.73779089325,118478.40857932785,-0.555097588092812
2004-12-16,117807.40682076658,118478.40857932785,-0.5663494020617209
2004-12-16,117794.22086220939,118478.40857932785,-0.5774788210970601
2004-12-16,117815.36167803974,118478.40857932785,-0.5596352189725446
2004-12-16,117814.16913993712,118478.40857932785,-0.5606417636391408
2004-12-17,117814.51261681292,118478.40857932785,-0.560351856912742
2004-12-17,117949.65074662735,118478.40857932785,-0.4462904583550938
2004-12-17,117961.1388094475,118478.40857932785,-0.436594123843259
2004-12-20,118069.03475312516,118478.40857932785,-0.345526101431883
2004-12-20,118061.48937403683,118478.40857932785,-0.35189467033722993
2004-12-20,118098.50498648903,118478.40857932785,-0.3206521740072597
2004-12-20,117717.54947871478,118478.40857932785,-0.642192201715502
2004-12-21,117708.08410514865,118478.40857932785,-0.650181314398248
2004-12-21,117677.13526683474,118478.40857932785,-0.6763032371055306
2004-12-22,118426.13398663355,118478.40857932785,-0.04412161956015963
2004-12-22,118548.36337394353,118548.36337394353,0.0
2004-12-23,118631.2428827705,118631.2428827705,0.0
2004-12-23,118898.03088123408,118898.03088123408,0.0
2004-12-23,119109.24032073599,119109.24032073599,0.0
2004-12-23,119513.71379292365,119513.71379292365,0.0
2004-12-27,119574.2339535109,119574.2339535109,0.0
2004-12-28,119764.91081833743,119764.91081833743,0.0
2004-12-28,119921.78123590369,119921.78123590369,0.0
2004-12-28,120048.50402859531,120048.50402859531,0.0
2004-12-28,120183.44185650998,120183.44185650998,0.0
2004-12-28,119827.08897319282,120183.44185650998,-0.2965074704239351
2004-12-28,120123.69215315701,120183.44185650998,-0.04971542038569836
2004-12-28,120373.40199704528,120373.40199704528,0.0
2004-12-28,120699.9643451639,120699.9643451639,0.0
2004-12-29,120862.19703414015,120862.19703414015,0.0
2004-12-29,120832.95764653997,120862.19703414015,-0.024192335004396836
2004-12-29,121088.4999091704,121088.4999091704,0.0
2004-12-29,121221.84128691358,121221.84128691358,0.0
2004-12-29,121354.16733393758,121354.16733393758,0.0
2004-12-29,121109.15455592226,121354.16733393758,-0.20189894043037732
2004-12-30,121130.08935257647,121354.16733393758,-0.18464794929086065
2004-12-30,121306.94353396619,121354.16733393758,-0.03891403238048627
2004-12-30,121410.68100302391,121410.68100302391,0.0
2005-01-05,120776.91587825054,121410.68100302391,-0.52200112835014
2005-01-06,119863.12253370312,121410.68100302391,-1.2746477134760892
2005-01-06,120007.41747440053,121410.68100302391,-1.1557990755265057
2005-01-07,119107.36181489775,121410.68100302391,-1.8971306058886133
2005-01-07,119206.04404423178,121410.68100302391,-1.8158509124392659
2005-01-07,119329.89500922801,121410.68100302391,-1.7138409706672142
2005-01-07,119444.18771095668,121410.68100302391,-1.6197036997249448
2005-01-10,119566.31958862874,121410.68100302391,-1.519109685538486
2005-01-10,119812.334075001,121410.68100302391,-1.3164796662190776
2005-01-10,119987.66281094377,121410.68100302391,-1.1720700191482314
2005-01-10,120159.4310495475,121410.68100302391,-1.0305929784260552
2005-01-10,120322.5636007961,121410.68100302391,-0.8962287281797823
2005-01-12,120346.15184701118,121410.68100302391,-0.8768002511955463
2005-01-12,120224.98855159052,121410.68100302391,-0.976596491871966
2005-01-12,119867.47476101592,121410.68100302391,-1.2710629981307437
2005-01-12,119609.0673711884,121410.68100302391,-1.4839004418323303
2005-01-12,119493.04785280049,121410.68100302391,-1.5794600066329114
2005-01-12,119153.17858106311,121410.68100302391,-1.8593935914951139
2005-01-12,118935.72209106392,121410.68100302391,-2.038501795322568
2005-01-12,119133.11167332112,121410.68100302391,-1.8759217153604995
2005-01-12,118864.3575368725,121410.68100302391,-2.0972812648073313
2005-01-12,118638.02580948718,121410.68100302391,-2.283699564676418
2005-01-12,118248.16595426854,121410.68100302391,-2.6048079317474624
2005-01-12,118126.48541513541,121410.68100302391,-2.7050302006021267
2005-01-12,118073.59545337106,121410.68100302391,-2.7485930579449906
2005-01-12,117863.76181326318,121410.68100302391,-2.9214226956460254
2005-01-12,117814.19546358768,121410.68100302391,-2.9622480573572125
2005-01-12,117557.0227074328,121410.68100302391,-3.17406859409275
2005-01-12,117680.10084696596,121410.68100302391,-3.0726951906027455
2005-01-12,117569.44430327404,121410.68100302391,-3.163837537204988
2005-01-12,117342.55876136359,121410.68100302391,-3.3507119868300586
2005-01-12,117270.11160104572,121410.68100302391,-3.410383145676506
2005-01-12,116985.6371587367,121410.68100302391,-3.644690737034082
2005-01-12,116940.33000320598,121410.68100302391,-3.6820080102397212
2005-01-12,116959.45762067732,121410.68100302391,-3.6662535335220876
2005-01-13,116820.5056581,121410.68100302391,-3.7807014234683303
2005-01-13,116819.46209616591,121410.68100302391,-3.7815609540511956
2005-01-13,116492.6137747412,121410.68100302391,-4.050769823258156
2005-01-13,116476.54847575747,121410.68100302391,-4.064002019018037
2005-01-13,116407.55194099684,121410.68100302391,-4.120831067492706
2005-01-13,116350.6431784333,121410.68100302391,-4.1677040131787
2005-01-13,116420.81377725987,121410.68100302391,-4.109907945940739
2005-01-13,116402.05881381143,121410.68100302391,-4.125355485888216
2005-01-13,116408.55190979716,121410.68100302391,-4.120007442427716
2005-01-13,116304.09321335216,121410.68100302391,-4.206044927418347
2005-01-13,116376.15061075526,121410.68100302391,-4.146694797093894
2005-01-13,115823.37716551045,121410.68100302391,-4.601987066833357
2005-01-13,115836.62680616108,121410.68100302391,-4.591073990206849
2005-01-13,115580.54047712193,121410.68100302391,-4.801999690419966
2005-01-13,115523.09650734546,121410.68100302391,-4.849313459935059
2005-01-13,114920.98695586875,121410.68100302391,-5.345241451197798
2005-01-13,114894.67711292664,121410.68100302391,-5.3669115734018344
