date,equity,peak,dd,window
2009-06-09,100152.73560057332,100152.73560057332,0.0,W1
2009-06-10,100039.87084159876,100152.73560057332,-0.11269263719832562,W1
2009-06-10,99481.13501298129,100152.73560057332,-0.6705763787326635,W1
2009-06-11,99649.03599844259,100152.73560057332,-0.5029314467650391,W1
2009-06-11,99767.31669840436,100152.73560057332,-0.38483112803435626,W1
2009-06-11,100359.72922908957,100359.72922908957,0.0,W1
2009-06-16,100465.98997863177,100465.98997863177,0.0,W1
2009-06-16,100564.58089178673,100564.58089178673,0.0,W1
2009-06-17,100503.46194622856,100564.58089178673,-0.06077581690906665,W1
2009-06-17,100106.98265912324,100564.58089178673,-0.45502922460929457,W1
2009-06-17,99800.24896346207,100564.58089178673,-0.7600408827309865,W1
2009-06-17,99112.97623618935,100564.58089178673,-1.4434551834501093,W1
2009-06-17,98938.09575932789,100564.58089178673,-1.6173538616036491,W1
2009-06-18,98403.42044317906,100564.58089178673,-2.1490274502642253,W1
2009-06-18,98244.3246728239,100564.58089178673,-2.3072300390328793,W1
2009-06-18,98468.55631052045,100564.58089178673,-2.084257263023568,W1
2009-06-18,98612.91561998031,100564.58089178673,-1.9407084029977892,W1
2009-06-18,98722.45453125706,100564.58089178673,-1.831784455515112,W1
2009-06-18,98917.39397736023,100564.58089178673,-1.6379394214340341,W1
2009-06-19,98605.37464601453,100564.58089178673,-1.9482070410857775,W1
2009-06-19,98880.0482005871,100564.58089178673,-1.6750755348071082,W1
2009-06-19,98986.87254290892,100564.58089178673,-1.5688509163832798,W1
2009-06-19,99102.04523161442,100564.58089178673,-1.454324820133319,W1
2009-06-19,98752.45198969253,100564.58089178673,-1.8019554061923115,W1
2009-06-19,98609.70876942469,100564.58089178673,-1.9438972499329485,W1
2009-06-19,98234.8680247834,100564.58089178673,-2.3166335963854237,W1
2009-06-19,98039.84901988473,100564.58089178673,-2.510557742609949,W1
2009-06-19,97687.99929031865,100564.58089178673,-2.860432148137168,W1
2009-06-19,97185.64542971415,100564.58089178673,-3.3599657375478027,W1
2009-06-19,97076.8783351338,100564.58089178673,-3.4681222014000013,W1
2009-06-22,96999.93107736786,100564.58089178673,-3.544637468588105,W1
2009-06-22,96198.90698912245,100564.58089178673,-4.34116451731847,W1
2009-06-22,95755.2421236389,100564.58089178673,-4.782338598241607,W1
2009-06-22,95594.15980786397,100564.58089178673,-4.942516579740156,W1
2009-06-23,95324.42769741529,100564.58089178673,-5.210734383719197,W1
2009-06-23,95061.18314181996,100564.58089178673,-5.472501054709053,W1
2009-06-24,94728.44614521124,100564.58089178673,-5.803370028315931,W1
2009-06-24,94797.77236691845,100564.58089178673,-5.734433011831168,W1
2009-06-24,94571.03188936357,100564.58089178673,-5.959900542789074,W1
2009-06-24,94248.38503873383,100564.58089178673,-6.280736017633767,W1
2009-06-24,94045.60451204647,100564.58089178673,-6.48237811158886,W1
2009-06-24,94018.77878088607,100564.58089178673,-6.509053240070986,W1
2009-06-24,93845.99924437619,100564.58089178673,-6.6808627727888785,W1
2009-06-24,93721.26574207313,100564.58089178673,-6.804896007151265,W1
2009-06-24,93596.50936617717,100564.58089178673,-6.92895198669162,W1
2009-06-24,93524.36252112524,100564.58089178673,-7.00069379122374,W1
2009-06-24,93370.735093026,100564.58089178673,-7.15345873762624,W1
2009-06-25,93518.51317308281,100564.58089178673,-7.006510300366971,W1
2009-06-25,93799.61885892675,100564.58089178673,-6.726982773526853,W1
2009-06-25,93849.46415647448,100564.58089178673,-6.677417313097636,W1
2009-06-25,94012.9064856164,100564.58089178673,-6.514892567613144,W1
2009-06-25,94217.39861897536,100564.58089178673,-6.311548476139224,W1
2009-06-25,94346.17576902156,100564.58089178673,-6.183494295527893,W1
2009-06-25,94482.19587469245,100564.58089178673,-6.0482378220611,W1
2009-06-25,94806.74998893726,100564.58089178673,-5.725505791194244,W1
2009-06-25,94854.32194986379,100564.58089178673,-5.6782009046181985,W1
2009-06-25,95061.55485658116,100564.58089178673,-5.472131426796414,W1
2009-06-25,94890.61104066182,100564.58089178673,-5.6421155448660585,W1
2009-06-25,94853.40086903621,100564.58089178673,-5.679116814394199,W1
2009-06-25,94958.81685219523,100564.58089178673,-5.574292648446094,W1
2009-06-25,94780.99523872045,100564.58089178673,-5.751115951340505,W1
2009-06-25,94951.38218214472,100564.58089178673,-5.581685579420979,W1
2009-06-25,94636.99467885942,100564.58089178673,-5.894308075828134,W1
2009-06-25,93906.50136149894,100564.58089178673,-6.620700321370859,W1
2009-06-25,93724.85300664286,100564.58089178673,-6.801328881889143,W1
2009-06-25,93683.22862551612,100564.58089178673,-6.842719579048751,W1
2009-06-26,93943.46400632296,100564.58089178673,-6.583945189000954,W1
2009-06-26,94200.9550374786,100564.58089178673,-6.3278997415161,W1
2009-06-26,94475.99935250948,100564.58089178673,-6.054399556270128,W1
2009-06-26,94513.93664476222,100564.58089178673,-6.0166752482520165,W1
2009-06-26,94591.75226637283,100564.58089178673,-5.939296492311744,W1
2009-06-26,94513.5388549909,100564.58089178673,-6.017070804786725,W1
2009-06-26,94544.48853986236,100564.58089178673,-5.986294874934478,W1
2009-06-26,94258.64769825505,100564.58089178673,-6.270530973839805,W1
2009-06-26,94364.74874245941,100564.58089178673,-6.165025592856282,W1
2009-06-26,94101.99759957685,100564.58089178673,-6.426301621207957,W1
2009-06-26,93917.27779435233,100564.58089178673,-6.609984388626132,W1
2009-06-26,93904.65737735807,100564.58089178673,-6.622533953176925,W1
2009-06-26,94085.22480020132,100564.58089178673,-6.4429802561973215,W1
2009-06-26,93907.42283644209,100564.58089178673,-6.619784019691909,W1
2009-06-26,94071.2176153349,100564.58089178673,-6.456908803149151,W1
2009-06-26,94012.53554519442,100564.58089178673,-6.51526142553379,W1
2009-06-29,94227.60406309488,100564.58089178673,-6.301400326533248,W1
2009-06-29,94436.46595413207,100564.58089178673,-6.093711009693221,W1
2009-06-29,94539.16178532994,100564.58089178673,-5.9915917244665735,W1
2009-06-29,94687.30040976848,100564.58089178673,-5.844284766962378,W1
2009-06-29,94912.68474070301,100564.58089178673,-5.620165769064832,W1
2009-06-29,94824.71888208475,100564.58089178673,-5.7076377774381575,W1
2009-06-29,94645.64423443601,100564.58089178673,-5.885707079831447,W1
2009-06-29,94667.83148706573,100564.58089178673,-5.863644388938718,W1
2009-06-29,94377.64222141044,100564.58089178673,-6.152204499349318,W1
2009-06-30,94049.45506724242,100564.58089178673,-6.478549173843774,W1
2009-06-30,93857.76380809023,100564.58089178673,-6.669164256661519,W1
2009-06-30,93905.9892507538,100564.58089178673,-6.621209557068557,W1
2009-07-01,94051.67688336049,100564.58089178673,-6.476339831251818,W1
2009-07-01,94258.9367794898,100564.58089178673,-6.270243515539693,W1
2009-07-01,94124.94549511062,100564.58089178673,-6.403482557746178,W1
2009-07-02,94346.57695548906,100564.58089178673,-6.1830953613664414,W1
2009-07-09,94406.0264690824,100564.58089178673,-6.123979604042986,W1
2009-07-10,94563.09268575611,100564.58089178673,-5.967795174812649,W1
2009-07-13,94619.32363060476,100564.58089178673,-5.9118799168261855,W1
2009-07-13,94917.19879567686,100564.58089178673,-5.615677056504393,W1
2009-07-13,95039.33023426091,100564.58089178673,-5.494231277582018,W1
2009-07-13,95079.60495427309,100564.58089178673,-5.45418266438736,W1
2009-07-13,95175.9486921462,100564.58089178673,-5.3583798111176035,W1
2009-07-13,95372.25697040604,100564.58089178673,-5.163173629657861,W1
2009-07-13,95607.35078794921,100564.58089178673,-4.929399655303869,W1
