date,equity,peak,dd,window
2009-06-09,100175.64529344781,100175.64529344781,0.0,W1
2009-06-10,100045.85207831289,100175.64529344781,-0.12956563918776434,W1
2009-06-10,99403.3058754028,100175.64529344781,-0.7709852187950205,W1
2009-06-11,99554.41615745798,100175.64529344781,-0.6201398894612062,W1
2009-06-11,99660.86983438261,100175.64529344781,-0.5138728655625379,W1
2009-06-11,100253.28236506782,100253.28236506782,0.0,W1
2009-06-16,100370.19940005097,100370.19940005097,0.0,W1
2009-06-16,100468.71410340747,100468.71410340747,0.0,W1
2009-06-17,100407.59515784931,100468.71410340747,-0.06083380891613266,W1
2009-06-17,100011.11543446606,100468.71410340747,-0.45546384566087844,W1
2009-06-17,99704.38088415348,100468.71410340747,-0.7607673951786684,W1
2009-06-17,98959.83542960802,100468.71410340747,-1.5018393409976745,W1
2009-06-17,98784.93405882732,100468.71410340747,-1.675924748919473,W1
2009-06-18,98196.65663492623,100468.71410340747,-2.261457697311353,W1
2009-06-18,98021.60945942615,100468.71410340747,-2.435688229733525,W1
2009-06-18,98264.33954986303,100468.71410340747,-2.194090541733811,W1
2009-06-18,98408.58389225343,100468.71410340747,-2.050519138757616,W1
2009-06-18,98518.00702338532,100468.71410340747,-1.9416064965401956,W1
2009-06-18,98728.96742992912,100468.71410340747,-1.7316302781458084,W1
2009-06-19,98417.19427097791,100468.71410340747,-2.04194892981116,W1
2009-06-19,98719.0471543643,100468.71410340747,-1.741504272904619,W1
2009-06-19,98836.44187851778,100468.71410340747,-1.6246572273331503,W1
2009-06-19,98951.46364872284,100468.71410340747,-1.510172065229183,W1
2009-06-19,98602.14452805092,100468.71410340747,-1.8578615164073708,W1
2009-06-19,98058.35936079193,100468.71410340747,-2.3991097767357537,W1
2009-06-19,97863.49348515128,100468.71410340747,-2.5930665496273484,W1
2009-06-19,97511.91689254403,100468.71410340747,-2.943002941015207,W1
2009-06-19,97369.28852164173,100468.71410340747,-3.0849659114534442,W1
2009-06-19,97260.60471889983,100468.71410340747,-3.1931426744505673,W1
2009-06-22,97177.33808885589,100468.71410340747,-3.2760208428306687,W1
2009-06-22,96377.16316594978,100468.71410340747,-4.072462730284836,W1
2009-06-22,95933.9460589422,100468.71410340747,-4.513612107942247,W1
2009-06-22,95773.03598132817,100468.71410340747,-4.673771495916904,W1
2009-06-23,95530.49899102439,100468.71410340747,-4.915176984648598,W1
2009-06-23,95293.82981170717,100468.71410340747,-5.15074203734115,W1
2009-06-24,95267.03253334331,100468.71410340747,-5.177414299052665,W1
2009-06-24,95329.54509846149,100468.71410340747,-5.115193372193949,W1
2009-06-24,95103.02654459846,100468.71410340747,-5.340655154883721,W1
2009-06-24,94780.72189399519,100468.71410340747,-5.661456165904463,W1
2009-06-24,94578.15426788916,100468.71410340747,-5.863078758483418,W1
2009-06-24,94245.76895472732,100468.71410340747,-6.193913403007413,W1
2009-06-24,94073.17318766803,100468.71410340747,-6.365703963481439,W1
2009-06-24,93948.57107352377,100468.71410340747,-6.489724774592862,W1
2009-06-24,93823.94702876516,100468.71410340747,-6.613767414006294,W1
2009-06-24,93745.87140170144,100468.71410340747,-6.691478796858634,W1
2009-06-24,93592.4069190194,100468.71410340747,-6.844227325643517,W1
2009-06-25,93874.03606457263,100468.71410340747,-6.563912057287073,W1
2009-06-25,94007.2887895494,100468.71410340747,-6.431280992814981,W1
2009-06-25,94214.12585420758,100468.71410340747,-6.225408879785556,W1
2009-06-25,94377.31612044669,100468.71410340747,-6.062979940891062,W1
2009-06-25,94581.491688557,100468.71410340747,-5.859756907798232,W1
2009-06-25,94710.06948437938,100468.71410340747,-5.731778962653997,W1
2009-06-25,94845.87994851575,100468.71410340747,-5.596602091576905,W1
2009-06-25,95196.93772982714,100468.71410340747,-5.2471820910879305,W1
2009-06-25,95249.21700220328,100468.71410340747,-5.195146715854274,W1
2009-06-25,95294.16207296312,100468.71410340747,-5.15041132617507,W1
2009-06-25,95106.22458260106,100468.71410340747,-5.337472036605412,W1
2009-06-25,95065.32763781019,100468.71410340747,-5.378178185933432,W1
2009-06-25,95181.17256867248,100468.71410340747,-5.262873703442434,W1
2009-06-25,94985.75427646509,100468.71410340747,-5.457380315725997,W1
2009-06-25,95173.00377668608,100468.71410340747,-5.271004385774047,W1
2009-06-25,94827.50717265751,100468.71410340747,-5.614889153397293,W1
2009-06-25,93957.83247576217,100468.71410340747,-6.480506579335704,W1
2009-06-25,93741.575920227,100468.71410340747,-6.695754238734025,W1
2009-06-25,93695.83274891283,100468.71410340747,-6.741284005609602,W1
2009-06-26,93733.71061545017,100468.71410340747,-6.703582849707125,W1
2009-06-26,93360.12225019443,100468.71410340747,-7.075428322787652,W1
2009-06-26,93540.73700871092,100468.71410340747,-6.895656181650672,W1
2009-06-26,93798.70873362319,100468.71410340747,-6.638887965580185,W1
2009-06-26,94085.66718345642,100468.71410340747,-6.353268255609702,W1
2009-06-26,94163.36436406244,100468.71410340747,-6.275933553658558,W1
2009-06-26,94460.76384697379,100468.71410340747,-5.979921520892565,W1
2009-06-26,94382.67108119882,100468.71410340747,-6.057649962499366,W1
2009-06-26,94120.3256081278,100468.71410340747,-6.318771521993999,W1
2009-06-26,94061.73276221295,100468.71410340747,-6.3770910162143934,W1
2009-06-26,94167.66841829145,100468.71410340747,-6.271649579022852,W1
2009-06-26,93983.23565770728,100468.71410340747,-6.455221910200834,W1
2009-06-26,93674.05206904109,100468.71410340747,-6.762963072636693,W1
2009-06-26,93660.40455127937,100468.71410340747,-6.776546920985423,W1
2009-06-26,93855.71578797454,100468.71410340747,-6.582146864770764,W1
2009-06-26,93663.39517855803,100468.71410340747,-6.773570245803154,W1
2009-06-26,93694.29951838528,100468.71410340747,-6.742810083196275,W1
2009-06-29,93903.65726925178,100468.71410340747,-6.534429043650948,W1
2009-06-29,94006.3672634368,100468.71410340747,-6.4321982197555565,W1
2009-06-29,94221.9463763436,100468.71410340747,-6.217624842529963,W1
2009-06-29,94370.43333913454,100468.71410340747,-6.0698306121408825,W1
2009-06-29,94618.96307612384,100468.71410340747,-5.822460334530387,W1
2009-06-29,94531.1672048236,100468.71410340747,-5.909846614014233,W1
2009-06-29,94352.43367430536,100468.71410340747,-6.087746303597489,W1
2009-06-29,94374.5104302355,100468.71410340747,-6.065772541787993,W1
2009-06-29,94084.87478529659,100468.71410340747,-6.354056957014811,W1
2009-06-30,93788.94648280619,100468.71410340747,-6.648604672819969,W1
2009-06-30,93616.09912069753,100468.71410340747,-6.820645654583461,W1
2009-06-30,93659.58235131063,100468.71410340747,-6.77736528516583,W1
2009-07-01,93817.84545437091,100468.71410340747,-6.619840522882731,W1
2009-07-01,94003.74935923137,100468.71410340747,-6.434803910719944,W1
2009-07-01,93869.50916535628,100468.71410340747,-6.568417837277139,W1
2009-07-02,94113.90041912583,100468.71410340747,-6.3251667357272545,W1
2009-07-09,94182.09814019794,100468.71410340747,-6.2572871757262005,W1
2009-07-10,94354.44488798121,100468.71410340747,-6.085744472784978,W1
2009-07-13,94410.53859757756,100468.71410340747,-6.029912455726802,W1
2009-07-13,94707.6788467644,100468.71410340747,-5.734158447288907,W1
2009-07-13,94829.5090860784,100468.71410340747,-5.612896579451513,W1
2009-07-13,94869.6849201426,100468.71410340747,-5.572908176670875,W1
2009-07-13,94965.79182587787,100468.71410340747,-5.477249636006809,W1
2009-07-13,95161.61619783069,100468.71410340747,-5.2823388384511905,W1
2009-07-13,95396.13037702283,100468.71410340747,-5.048918732217164,W1
2009-07-13,95574.48970810918,100468.71410340747,-4.87139149632284,W1
2009-07-13,95728.18864361875,100468.71410340747,-4.718409608497166,W1
2009-07-13,95848.84746168258,100468.71410340747,-4.598313696908562,W1
2009-07-13,95983.04965344699,100468.71410340747,-4.4647375951717825,W1
2009-07-13,96076.47894965658,100468.71410340747,-4.371744172250662,W1
2009-07-13,96135.75323493844,100468.71410340747,-4.312746417764767,W1
2009-07-13,96323.96994264706,100468.71410340747,-4.1254077926133625,W1
2009-07-13,96394.98392917533,100468.71410340747,-4.054725105806823,W1
2009-07-13,96453.21153826325,100468.71410340747,-3.9967691444833946,W1
2009-07-13,96552.2468072831,100468.71410340747,-3.898195902152537,W1
2009-07-13,96651.41936999922,100468.71410340747,-3.7994860066381504,W1
2009-07-13,96843.7905698232,100468.71410340747,-3.6080122712164044,W1
2009-07-13,96936.26942166335,100468.71410340747,-3.5159648585811,W1
2009-07-13,97005.5981194362,100468.71410340747,-3.446959598195777,W1
2009-07-13,97078.01889851551,100468.71410340747,-3.3748766819112346,W1
2009-07-13,97200.08263156378,100468.71410340747,-3.2533824096518753,W1
2009-07-13,97312.94508581299,100468.71410340747,-3.141046489702666,W1
2009-07-13,97413.0174953485,100468.71410340747,-3.0414409454010727,W1
2009-07-13,97596.73641610309,100468.71410340747,-2.8585791237941036,W1
2009-07-13,97682.42044449381,100468.71410340747,-2.7732948348934494,W1
2009-07-13,97793.6763437227,100468.71410340747,-2.662557974944802,W1
2009-07-13,98097.64462423616,100468.71410340747,-2.3600077898189213,W1
2009-07-13,98247.34353613888,100468.71410340747,-2.2110072643930163,W1
2009-07-13,98362.4037850069,100468.71410340747,-2.096483803139605,W1
2009-07-13,98439.8332479131,100468.71410340747,-2.0194155699117853,W1
2009-07-13,98648.97528504158,100468.71410340747,-1.81124923774074,W1
2009-07-13,98725.9179264678,100468.71410340747,-1.7346655548372054,W1
2009-07-14,98808.1866295568,100468.71410340747,-1.6527806578091282,W1
2009-07-14,98881.73404290258,100468.71410340747,-1.579576363315942,W1
2009-07-14,98976.55704521597,100468.71410340747,-1.4851957363121984,W1
2009-07-14,99058.80389962385,100468.71410340747,-1.4033325860351675,W1
2009-07-14,99204.01861585164,100468.71410340747,-1.2587953362816418,W1
2009-07-14,99297.56613248687,100468.71410340747,-1.1656842444655942,W1
2009-07-14,99294.32221606842,100468.71410340747,-1.1689130271243513,W1
2009-07-14,99333.84820935236,100468.71410340747,-1.129571433438522,W1
2009-07-14,98857.99515172439,100468.71410340747,-1.603204506056732,W1
2009-07-14,98676.0016098955,100468.71410340747,-1.7843489981038563,W1
2009-07-15,98939.09269545742,100468.71410340747,-1.5224853046050595,W1
2009-07-15,99056.4591582926,100468.71410340747,-1.4056663885050988,W1
2009-07-15,99172.68918648905,100468.71410340747,-1.28997860526461,W1
2009-07-15,99237.42225874409,100468.71410340747,-1.2255475305437642,W1
2009-07-15,99434.75299865443,100468.71410340747,-1.0291373926502572,W1
2009-07-15,99535.99420971716,100468.71410340747,-0.9283684996010924,W1
2009-07-15,99672.48494688315,100468.71410340747,-0.7925145291546202,W1
2009-07-15,99904.52716767741,100468.71410340747,-0.5615548489546413,W1
2009-07-15,100045.454279138,100468.71410340747,-0.42128520111627976,W1
2009-07-15,100204.93808164103,100468.71410340747,-0.2625454342880866,W1
2009-07-15,100260.67070331247,100468.71410340747,-0.20707282058061946,W1
2009-07-15,100454.4685632711,100468.71410340747,-0.014179080784996708,W1
2009-07-15,100538.79985019298,100538.79985019298,0.0,W1
2009-07-15,100685.4060123052,100685.4060123052,0.0,W1
2009-07-16,100465.35022115898,100685.4060123052,-0.21855778296144507,W1
2009-07-16,100534.02553484276,100685.4060123052,-0.1503499697304128,W1
2009-07-16,100639.54854861888,100685.4060123052,-0.04554529350630527,W1
2009-07-16,100825.52223035606,100825.52223035606,0.0,W1
2009-07-17,100750.77278515467,100825.52223035606,-0.0741374242829236,W1
2009-07-24,100824.93135791244,100825.52223035606,-0.0005860345977339368,W1
2009-07-29,100922.6996694203,100922.6996694203,0.0,W1
2009-07-30,100951.61437699014,100951.61437699014,0.0,W1
2009-07-30,100923.490707979,100951.61437699014,-0.02785856292115941,W1
2009-07-31,101023.93329192848,101023.93329192848,0.0,W1
2009-08-03,101230.54563769362,101230.54563769362,0.0,W1
2009-08-03,101612.5382428298,101612.5382428298,0.0,W1
2009-08-03,101789.7336419372,101789.7336419372,0.0,W1
2009-08-03,101882.38699134406,101882.38699134406,0.0,W1
2009-08-03,101941.5592688351,101941.5592688351,0.0,W1
2009-08-03,102042.32164278715,102042.32164278715,0.0,W1
2009-08-03,102441.55709791499,102441.55709791499,0.0,W1
2009-08-03,102635.22211968574,102635.22211968574,0.0,W1
2009-08-03,102790.65003462574,102790.65003462574,0.0,W1
2009-08-03,102886.42317632312,102886.42317632312,0.0,W1
2009-08-03,102976.71417825238,102976.71417825238,0.0,W1
2009-08-04,103045.46856803383,103045.46856803383,0.0,W1
2009-08-05,103125.65978772598,103125.65978772598,0.0,W1
2009-08-05,103228.86918645762,103228.86918645762,0.0,W1
2009-08-05,103361.88152043158,103361.88152043158,0.0,W1
2009-08-05,103137.21497184412,103361.88152043158,-0.21735919014113989,W1
2009-08-05,103274.65937040152,103361.88152043158,-0.08438521894825406,W1
2009-08-06,103358.18878096993,103361.88152043158,-0.003572631812938259,W1
2009-08-07,103335.51053321725,103361.88152043158,-0.025513261587744907,W1
2009-08-07,103343.73250976103,103361.88152043158,-0.01755870772046507,W1
2009-08-07,104212.35904982622,104212.35904982622,0.0,W1
2009-08-10,104324.0532246997,104324.0532246997,0.0,W1
2009-08-10,104317.64487076824,104324.0532246997,-0.006142738643078792,W1
2009-08-10,104451.89654925036,104451.89654925036,0.0,W1
2009-08-11,104217.9710600332,104451.89654925036,-0.22395523388784097,W1
2009-08-11,104352.35203942469,104451.89654925036,-0.09530177346156522,W1
2009-08-11,104061.65501515778,104451.89654925036,-0.3736088543960293,W1
2009-08-11,104068.92545054633,104451.89654925036,-0.36664829587221054,W1
2009-08-12,104329.23953953024,104451.89654925036,-0.11742918393280112,W1
2009-08-12,104585.67881615616,104585.67881615616,0.0,W1
2009-08-13,104379.11821880369,104585.67881615616,-0.1975037114933907,W1
2009-08-13,104662.25130622851,104662.25130622851,0.0,W1
2009-08-13,104919.66252287316,104919.66252287316,0.0,W1
2009-08-14,104818.94405891419,104919.66252287316,-0.0959957948177839,W1
2009-08-14,104784.77857230828,104919.66252287316,-0.12855926841689352,W1
2009-08-14,104393.9558166647,104919.66252287316,-0.5010564212345289,W1
2009-08-14,104241.66424792206,104919.66252287316,-0.6462070680062362,W1
2009-08-14,103496.7814455958,104919.66252287316,-1.3561624609373486,W1
2009-08-14,103009.78974320315,104919.66252287316,-1.820319217337977,W1
2009-08-17,102677.67010131387,104919.66252287316,-2.1368658339617914,W1
2009-08-17,102654.60970376398,104919.66252287316,-2.158844933965906,W1
2009-08-17,102586.19822164123,104919.66252287316,-2.2240486150279204,W1
2009-08-17,102503.1221353321,104919.66252287316,-2.303229279844695,W1
2009-08-17,102359.81288120922,104919.66252287316,-2.4398187909781694,W1
2009-08-17,102243.09141519823,104919.66252287316,-2.5510672102013467,W1
2009-08-18,102175.6881242325,104919.66252287316,-2.615309973993149,W1
2009-08-18,102211.27845413973,104919.66252287316,-2.5813884677173693,W1
2009-08-18,102010.83219980635,104919.66252287316,-2.772435836259639,W1
2009-08-18,101859.32977047846,104919.66252287316,-2.916834346209912,W1
2009-08-18,102087.92545098116,104919.66252287316,-2.698957472604015,W1
2009-08-19,102242.36352177543,104919.66252287316,-2.5517609728434407,W1
2009-08-19,102121.25648673534,104919.66252287316,-2.6671893226188668,W1
2009-08-20,102071.23259909269,104919.66252287316,-2.714867599921502,W1
2009-08-20,102258.63554291411,104919.66252287316,-2.5362519436039217,W1
2009-08-20,102362.48251107098,104919.66252287316,-2.437274339540214,W1
2009-08-20,102482.15582618103,104919.66252287316,-2.3232124828468046,W1
2009-08-20,102662.04058917283,104919.66252287316,-2.15176248132532,W1
2009-08-21,102829.73577167487,104919.66252287316,-1.991930493240648,W1
2009-08-21,103018.27598304229,104919.66252287316,-1.8122308956306024,W1
2009-08-21,103190.5223183619,104919.66252287316,-1.6480611573967834,W1
2009-08-24,103227.26572653135,104919.66252287316,-1.6130406404737125,W1
2009-08-24,102817.95027794997,104919.66252287316,-2.00316336746222,W1
2009-08-24,101988.33916133143,104919.66252287316,-2.793874180545214,W1
2009-08-24,101891.85285828618,104919.66252287316,-2.885836259649519,W1
2009-08-25,102118.44015531366,104919.66252287316,-2.6698735968091936,W1
2009-08-25,102232.53780320268,104919.66252287316,-2.5611259653877254,W1
2009-08-26,102234.55180171244,104919.66252287316,-2.5592064028754806,W1
2009-09-03,101897.45753551503,104919.66252287316,-2.880494384643362,W1
2009-09-03,101936.4501306459,104919.66252287316,-2.843330144697043,W1
2009-09-03,101981.2072472059,104919.66252287316,-2.8006716806076857,W1
2009-09-03,102110.3179153355,104919.66252287316,-2.6776149865381056,W1
2009-09-04,102232.4699819436,104919.66252287316,-2.5611906065211807,W1
2009-09-04,102473.85310512953,104919.66252287316,-2.3311258909267143,W1
2009-09-04,102564.21570767974,104919.66252287316,-2.245000373194977,W1
2009-09-04,102688.10736074233,104919.66252287316,-2.1269179755933094,W1
2009-09-04,102814.21670103163,104919.66252287316,-2.006721877686676,W1
2009-09-04,103106.98522000966,104919.66252287316,-1.7276812174918283,W1
2009-09-04,103252.46830784775,104919.66252287316,-1.589019803282292,W1
2009-09-04,103489.59082001235,104919.66252287316,-1.363015919488914,W1
2009-09-04,103545.8437515615,104919.66252287316,-1.3094006769342807,W1
2009-09-04,103548.65333167613,104919.66252287316,-1.3067228374835216,W1
2009-09-04,103939.87769411689,104919.66252287316,-0.9338429091331353,W1
2009-09-04,104853.64674313425,104919.66252287316,-0.0629203126959346,W1
2009-09-04,104949.6894670078,104949.6894670078,0.0,W1
2009-09-04,105108.96748844825,105108.96748844825,0.0,W1
2009-09-04,105245.88723713564,105245.88723713564,0.0,W1
2009-09-04,105416.04548518028,105416.04548518028,0.0,W1
2009-09-04,105621.12743650835,105621.12743650835,0.0,W1
2009-09-04,106110.02536499879,106110.02536499879,0.0,W1
2009-09-08,106388.8716653802,106388.8716653802,0.0,W1
2009-09-08,106552.28506756859,106552.28506756859,0.0,W1
2009-09-08,106755.8413997001,106755.8413997001,0.0,W1
