date,equity,peak,dd_pct
2004-01-02,99250.0,99250.0,0.0
2004-01-02,98952.25,99250.0,-0.3
2004-02-04,98655.39325,99250.0,-0.5991000000000063
2004-03-08,98359.42707024999,99250.0,-0.8973027000000074
2004-03-15,98372.50937024999,99250.0,-0.8841215413098366
2004-03-16,98437.77757025,99250.0,-0.8183601307304855
2004-03-17,98424.82097024999,99250.0,-0.8314146395466117
2004-03-18,98383.29877024998,99250.0,-0.873250609319918
2004-03-19,98372.87407024998,99250.0,-0.8837540853904502
2004-03-22,98420.73207024997,99250.0,-0.8355344380352937
2004-03-23,98434.58167024997,99250.0,-0.8215801811083402
2004-03-24,98430.26057024997,99250.0,-0.8259339342569558
2004-03-25,98399.99897024997,99250.0,-0.8564242113350394
2004-03-26,98316.71487024997,99250.0,-0.9403376622166559
2004-03-29,98264.15517024997,99250.0,-0.9932945387909613
2004-03-30,98258.86817024997,99250.0,-0.9986214909320158
2004-03-31,98296.78997024997,99250.0,-0.9604131282116164
2004-04-01,98271.05077024997,99250.0,-0.9863468309823936
2004-04-05,98458.10077024998,99250.0,-0.7978833549118616
2004-04-05,97721.06788894154,99250.0,-1.54048575421507
2004-04-07,97427.90468321239,99250.0,-1.8358642990303418
2004-05-10,97135.62096710042,99250.0,-2.1303567082111656
2004-06-10,96844.21410213679,99250.0,-2.423965640164447
2004-06-17,96895.10420213679,99250.0,-2.372690980214821
2004-06-18,96878.24730213679,99250.0,-2.3896752623306887
2004-06-21,96883.86970213678,99250.0,-2.384010375680822
2004-06-22,96860.43000213678,99250.0,-2.4076272018772977
2004-06-23,96875.47700213679,99250.0,-2.3924664965876197
2004-06-24,96922.42170213678,99250.0,-2.345167050743798
2004-06-25,96929.88360213678,99250.0,-2.337648763590151
2004-06-28,96850.59660213678,99250.0,-2.4175349096858656
2004-06-29,96899.56660213678,99250.0,-2.3681948593080304
2004-06-30,96979.14250213678,99250.0,-2.288017630088891
2004-07-01,96993.67590213678,99250.0,-2.2733744059075303
2004-07-02,97075.48280213677,99250.0,-2.1909493177463255
2004-07-06,99598.55280213678,99598.55280213678,0.0
2004-07-06,99585.31850213678,99598.55280213678,-0.013287642869959964
2004-07-07,99588.16450213679,99598.55280213678,-0.010430171631739373
2004-07-08,98841.25324618783,99598.55280213678,-0.7603519676168456
2004-07-08,98845.94024618783,99598.55280213678,-0.7556460759465956
2004-07-09,98854.38634618784,99598.55280213678,-0.7471659326489515
2004-07-12,98865.63264618783,99598.55280213678,-0.7358743027169976
2004-07-13,98842.23134618784,99598.55280213678,-0.7593699252352153
2004-07-14,98545.70464332623,99598.55280213678,-1.057091824318116
2004-07-14,98548.51594332623,99598.55280213678,-1.0542691929435557
