date,equity
2004-01-31,98952.25
2004-02-29,98655.39325
2004-03-31,98296.78997024997
2004-04-30,97427.90468321239
2004-05-31,97135.62096710042
2004-06-30,96979.14250213678
2004-07-31,98579.73104332623
2004-08-31,98607.50488739013
2004-09-30,98388.52112648218
2004-10-31,97686.82704129191
2004-11-30,108158.73816550222
2004-12-31,122105.49722752858
2005-01-31,119297.45327215291
2005-02-28,127758.9304467179
2005-03-31,125959.65635259954
2005-04-30,123154.33373401979
2005-05-31,135989.02992261102
2005-06-30,147569.42328907657
2005-07-31,149298.9384863867
2005-08-31,155334.20763924308
2005-09-30,155718.78474593503
2005-10-31,150163.03151457425
2005-11-30,158376.40538271423
2005-12-31,169179.2038303136
2006-01-31,180919.81413248167
2006-02-28,193204.6987355918
2006-03-31,231465.05988928705
2006-04-30,242506.32833046655
2006-05-31,184764.710640374
2006-06-30,165963.86067328224
2006-07-31,170669.4076777037
2006-08-31,181888.02554245517
2006-09-30,199119.50810746424
2006-10-31,210350.27646596023
2006-11-30,236013.25746906662
2006-12-31,239062.61401084004
2007-01-31,245412.77445743294
2007-02-28,253358.84204492552
2007-03-31,243608.83697768484
2007-04-30,267929.90651680215
2007-05-31,295426.0957368077
2007-06-30,311449.6571502457
2007-07-31,303290.219636461
2007-08-31,302832.60651713685
2007-09-30,320052.4276723735
2007-10-31,332245.77183989424
2007-11-30,312187.20725154906
2007-12-31,322833.5089293395
2008-01-31,352231.4808240109
2008-02-29,356434.7178399471
2008-03-31,362110.73866124736
2008-04-30,367533.69789686037
2008-05-31,374469.20157956245
2008-06-30,376960.75271337485
2008-07-31,402870.833092199
2008-08-31,403997.23875161144
2008-09-30,411682.64157814416
2008-10-31,467061.1722323676
2008-11-30,490495.57804494887
2008-12-31,517854.5059966949
2009-01-31,598121.7897317581
2009-02-28,607347.349520909
2009-03-31,632785.1554261685
2009-04-30,646337.9651000187
2009-05-31,706963.4922500193
2009-06-30,668119.0005277919
2009-07-31,741092.4658165838
2009-08-31,755519.931566357
2009-09-30,865462.9517659863
2009-10-31,778508.6430668753
2009-11-30,786384.9284333051
2009-12-31,946488.0987628897
2010-01-31,905766.8099331548
2010-02-28,866379.1324601662
2010-03-31,947022.9356826597
2010-04-30,1041893.8027529488
2010-05-31,991610.7354967941
2010-06-30,1003774.44643881
2010-07-31,1015297.1366503956
2010-08-31,1020361.4206839688
2010-09-30,1057851.882206969
2010-10-31,1087406.2213448475
